dataset,trajectory,num_points,threshold,split,status,error,pkl_path
botanic,BotanicGardenls_1005_00_img10hz600p_0,434,20,train,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_0/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_1,25,20,train,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_1/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_10,5,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_10/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_11,75,20,train,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_11/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_12,664,20,train,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_12/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_13,506,20,train,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_13/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_14,1,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_14/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_15,2,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_15/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_2,4,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_2/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_3,6,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_3/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_4,8,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_4/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_5,17,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_5/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_6,6,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_6/traj_data.pkl
botanic,BotanicGardenls_1005_00_img10hz600p_7,3,20,test,ok,,/root/data1/visualnav-transformer_4_60/datasets/botanic/BotanicGardenls_1005_00_img10hz600p_7/traj_data.pkl
