dataset,total_trajectories,train_trajectories,test_trajectories,threshold,train_ratio_percent,test_ratio_percent
botanic,61,33,28,20,54.10,45.90
cid_sims,249,132,117,20,53.01,46.99
go_stanford,3696,2032,1664,20,54.98,45.02
ground_challenge,290,45,245,20,15.52,84.48
huron,2911,1615,1296,20,55.48,44.52
i2nav,198,19,179,20,9.60,90.40
locobot_new,29,26,3,20,89.66,10.34
musohu,1977,675,1302,20,34.14,65.86
openloris,124,40,84,20,32.26,67.74
recon,11835,8096,3739,20,68.41,31.59
rellis,44,8,36,20,18.18,81.82
scand,591,307,284,20,51.95,48.05
